payment_id,invoice_id,payment_date,amount,payment_method,transaction_ref,notes,recorded_by,created_at
3,20,2025-12-30 00:00:00,100,bank_transfer,344,,1,2025-12-30 14:42:41.546
4,20,2025-12-30 00:00:00,800,bank_transfer,,,10,2025-12-30 21:34:43.671
